[2023-06-29T09:52:28.584+0000] {taskinstance.py:1083} INFO - Dependencies all met for <TaskInstance: name_gender_v2.perform_etl manual__2023-06-29T09:52:27.358655+00:00 [queued]>
[2023-06-29T09:52:28.589+0000] {taskinstance.py:1083} INFO - Dependencies all met for <TaskInstance: name_gender_v2.perform_etl manual__2023-06-29T09:52:27.358655+00:00 [queued]>
[2023-06-29T09:52:28.589+0000] {taskinstance.py:1279} INFO - 
--------------------------------------------------------------------------------
[2023-06-29T09:52:28.589+0000] {taskinstance.py:1280} INFO - Starting attempt 1 of 2
[2023-06-29T09:52:28.589+0000] {taskinstance.py:1281} INFO - 
--------------------------------------------------------------------------------
[2023-06-29T09:52:28.598+0000] {taskinstance.py:1300} INFO - Executing <Task(PythonOperator): perform_etl> on 2023-06-29 09:52:27.358655+00:00
[2023-06-29T09:52:28.602+0000] {standard_task_runner.py:55} INFO - Started process 556 to run task
[2023-06-29T09:52:28.603+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'name_gender_v2', 'perform_etl', 'manual__2023-06-29T09:52:27.358655+00:00', '--job-id', '92', '--raw', '--subdir', 'DAGS_FOLDER/NameGenderCSVtoRedshift_v2.py', '--cfg-path', '/tmp/tmp596dc519']
[2023-06-29T09:52:28.604+0000] {standard_task_runner.py:83} INFO - Job 92: Subtask perform_etl
[2023-06-29T09:52:28.638+0000] {task_command.py:388} INFO - Running <TaskInstance: name_gender_v2.perform_etl manual__2023-06-29T09:52:27.358655+00:00 [running]> on host 14de859c71f6
[2023-06-29T09:52:28.678+0000] {taskinstance.py:1509} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=name_gender_v2
AIRFLOW_CTX_TASK_ID=perform_etl
AIRFLOW_CTX_EXECUTION_DATE=2023-06-29T09:52:27.358655+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2023-06-29T09:52:27.358655+00:00
[2023-06-29T09:52:28.679+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.7/site-packages/***/utils/context.py:313: AirflowContextDeprecationWarning: Accessing 'execution_date' from the template is deprecated and will be removed in a future version. Please use 'data_interval_start' or 'logical_date' instead.
  warnings.warn(_create_deprecation_warning(k, replacements))

[2023-06-29T09:52:28.679+0000] {NameGenderCSVtoRedshift_v2.py:76} INFO - 2023-06-29T09:52:27.358655+00:00
[2023-06-29T09:52:28.679+0000] {NameGenderCSVtoRedshift_v2.py:24} INFO - Extract started
[2023-06-29T09:52:29.221+0000] {NameGenderCSVtoRedshift_v2.py:26} INFO - Extract done
[2023-06-29T09:52:29.222+0000] {NameGenderCSVtoRedshift_v2.py:31} INFO - Transform started
[2023-06-29T09:52:29.222+0000] {NameGenderCSVtoRedshift_v2.py:37} INFO - Transform ended
[2023-06-29T09:52:29.222+0000] {NameGenderCSVtoRedshift_v2.py:42} INFO - load started
[2023-06-29T09:52:34.403+0000] {logging_mixin.py:137} INFO - Avril - F
[2023-06-29T09:52:34.438+0000] {logging_mixin.py:137} INFO - Ahni - F
[2023-06-29T09:52:34.473+0000] {logging_mixin.py:137} INFO - Aimon - M
[2023-06-29T09:52:34.508+0000] {logging_mixin.py:137} INFO - Adolpho - M
[2023-06-29T09:52:34.556+0000] {logging_mixin.py:137} INFO - Ahuva - F
[2023-06-29T09:52:34.600+0000] {logging_mixin.py:137} INFO - Aurielle - F
[2023-06-29T09:52:34.633+0000] {logging_mixin.py:137} INFO - Aveana - F
[2023-06-29T09:52:34.666+0000] {logging_mixin.py:137} INFO - Aliyia - F
[2023-06-29T09:52:34.698+0000] {logging_mixin.py:137} INFO - Alesander - M
[2023-06-29T09:52:34.735+0000] {logging_mixin.py:137} INFO - Adnrea - F
[2023-06-29T09:52:34.770+0000] {logging_mixin.py:137} INFO - Anjae - F
[2023-06-29T09:52:34.806+0000] {logging_mixin.py:137} INFO - Alvine - F
[2023-06-29T09:52:34.842+0000] {logging_mixin.py:137} INFO - Adorah - F
[2023-06-29T09:52:34.879+0000] {logging_mixin.py:137} INFO - Adlemi - F
[2023-06-29T09:52:34.917+0000] {logging_mixin.py:137} INFO - Alesi - F
[2023-06-29T09:52:34.954+0000] {logging_mixin.py:137} INFO - Alontae - M
[2023-06-29T09:52:34.990+0000] {logging_mixin.py:137} INFO - Antonny - M
[2023-06-29T09:52:35.027+0000] {logging_mixin.py:137} INFO - Adarah - F
[2023-06-29T09:52:35.070+0000] {logging_mixin.py:137} INFO - Ayreanna - F
[2023-06-29T09:52:35.105+0000] {logging_mixin.py:137} INFO - Antyon - M
[2023-06-29T09:52:35.137+0000] {logging_mixin.py:137} INFO - Andia - F
[2023-06-29T09:52:35.181+0000] {logging_mixin.py:137} INFO - Ashla - F
[2023-06-29T09:52:35.210+0000] {logging_mixin.py:137} INFO - Aspyn - F
[2023-06-29T09:52:35.236+0000] {logging_mixin.py:137} INFO - Antwanett - F
[2023-06-29T09:52:35.266+0000] {logging_mixin.py:137} INFO - Aundreia - F
[2023-06-29T09:52:35.302+0000] {logging_mixin.py:137} INFO - Audella - F
[2023-06-29T09:52:35.341+0000] {logging_mixin.py:137} INFO - Amari - Unisex
[2023-06-29T09:52:35.383+0000] {logging_mixin.py:137} INFO - Arsha - Unisex
[2023-06-29T09:52:35.421+0000] {logging_mixin.py:137} INFO - Aricella - F
[2023-06-29T09:52:35.459+0000] {logging_mixin.py:137} INFO - Adan - M
[2023-06-29T09:52:35.506+0000] {logging_mixin.py:137} INFO - Apasra - F
[2023-06-29T09:52:35.555+0000] {logging_mixin.py:137} INFO - Alaysha - F
[2023-06-29T09:52:35.612+0000] {logging_mixin.py:137} INFO - Anderson - M
[2023-06-29T09:52:35.663+0000] {logging_mixin.py:137} INFO - Aurelius - M
[2023-06-29T09:52:35.704+0000] {logging_mixin.py:137} INFO - Aerial - F
[2023-06-29T09:52:35.740+0000] {logging_mixin.py:137} INFO - Averleigh - F
[2023-06-29T09:52:35.774+0000] {logging_mixin.py:137} INFO - Aslean - F
[2023-06-29T09:52:35.812+0000] {logging_mixin.py:137} INFO - Arniesha - F
[2023-06-29T09:52:35.849+0000] {logging_mixin.py:137} INFO - Asyana - F
[2023-06-29T09:52:35.884+0000] {logging_mixin.py:137} INFO - Annjane - F
[2023-06-29T09:52:35.919+0000] {logging_mixin.py:137} INFO - Amabella - F
[2023-06-29T09:52:35.954+0000] {logging_mixin.py:137} INFO - Austinjohn - M
[2023-06-29T09:52:35.988+0000] {logging_mixin.py:137} INFO - Arloween - F
[2023-06-29T09:52:36.024+0000] {logging_mixin.py:137} INFO - Alula - M
[2023-06-29T09:52:36.061+0000] {logging_mixin.py:137} INFO - Anemone - F
[2023-06-29T09:52:36.098+0000] {logging_mixin.py:137} INFO - Amorina - F
[2023-06-29T09:52:36.135+0000] {logging_mixin.py:137} INFO - Anureet - F
[2023-06-29T09:52:36.175+0000] {logging_mixin.py:137} INFO - Arric - M
[2023-06-29T09:52:36.207+0000] {logging_mixin.py:137} INFO - Antonne - M
[2023-06-29T09:52:36.244+0000] {logging_mixin.py:137} INFO - Alyre - M
[2023-06-29T09:52:36.277+0000] {logging_mixin.py:137} INFO - Annaise - F
[2023-06-29T09:52:36.370+0000] {NameGenderCSVtoRedshift_v2.py:67} INFO - load done
[2023-06-29T09:52:36.370+0000] {python.py:177} INFO - Done. Returned value was: None
[2023-06-29T09:52:36.376+0000] {taskinstance.py:1323} INFO - Marking task as SUCCESS. dag_id=name_gender_v2, task_id=perform_etl, execution_date=20230629T095227, start_date=20230629T095228, end_date=20230629T095236
[2023-06-29T09:52:36.391+0000] {local_task_job.py:208} INFO - Task exited with return code 0
[2023-06-29T09:52:36.400+0000] {taskinstance.py:2578} INFO - 0 downstream tasks scheduled from follow-on schedule check
