[2023-06-30T04:09:14.307+0000] {taskinstance.py:1083} INFO - Dependencies all met for <TaskInstance: name_gender_v2.perform_etl scheduled__2023-06-29T02:00:00+00:00 [queued]>
[2023-06-30T04:09:14.313+0000] {taskinstance.py:1083} INFO - Dependencies all met for <TaskInstance: name_gender_v2.perform_etl scheduled__2023-06-29T02:00:00+00:00 [queued]>
[2023-06-30T04:09:14.313+0000] {taskinstance.py:1279} INFO - 
--------------------------------------------------------------------------------
[2023-06-30T04:09:14.313+0000] {taskinstance.py:1280} INFO - Starting attempt 1 of 2
[2023-06-30T04:09:14.314+0000] {taskinstance.py:1281} INFO - 
--------------------------------------------------------------------------------
[2023-06-30T04:09:14.325+0000] {taskinstance.py:1300} INFO - Executing <Task(PythonOperator): perform_etl> on 2023-06-29 02:00:00+00:00
[2023-06-30T04:09:14.328+0000] {standard_task_runner.py:55} INFO - Started process 106 to run task
[2023-06-30T04:09:14.330+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'name_gender_v2', 'perform_etl', 'scheduled__2023-06-29T02:00:00+00:00', '--job-id', '106', '--raw', '--subdir', 'DAGS_FOLDER/NameGenderCSVtoRedshift_v2.py', '--cfg-path', '/tmp/tmp9sv5sr1g']
[2023-06-30T04:09:14.331+0000] {standard_task_runner.py:83} INFO - Job 106: Subtask perform_etl
[2023-06-30T04:09:14.375+0000] {task_command.py:388} INFO - Running <TaskInstance: name_gender_v2.perform_etl scheduled__2023-06-29T02:00:00+00:00 [running]> on host 14de859c71f6
[2023-06-30T04:09:14.428+0000] {taskinstance.py:1509} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=name_gender_v2
AIRFLOW_CTX_TASK_ID=perform_etl
AIRFLOW_CTX_EXECUTION_DATE=2023-06-29T02:00:00+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=scheduled__2023-06-29T02:00:00+00:00
[2023-06-30T04:09:14.429+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.7/site-packages/***/utils/context.py:313: AirflowContextDeprecationWarning: Accessing 'execution_date' from the template is deprecated and will be removed in a future version. Please use 'data_interval_start' or 'logical_date' instead.
  warnings.warn(_create_deprecation_warning(k, replacements))

[2023-06-30T04:09:14.428+0000] {NameGenderCSVtoRedshift_v2.py:76} INFO - 2023-06-29T02:00:00+00:00
[2023-06-30T04:09:14.429+0000] {NameGenderCSVtoRedshift_v2.py:24} INFO - Extract started
[2023-06-30T04:09:15.010+0000] {NameGenderCSVtoRedshift_v2.py:26} INFO - Extract done
[2023-06-30T04:09:15.011+0000] {NameGenderCSVtoRedshift_v2.py:31} INFO - Transform started
[2023-06-30T04:09:15.011+0000] {NameGenderCSVtoRedshift_v2.py:37} INFO - Transform ended
[2023-06-30T04:09:15.012+0000] {NameGenderCSVtoRedshift_v2.py:42} INFO - load started
[2023-06-30T04:09:17.129+0000] {logging_mixin.py:137} INFO - Alontae - M
[2023-06-30T04:09:17.156+0000] {logging_mixin.py:137} INFO - Antonny - M
[2023-06-30T04:09:17.182+0000] {logging_mixin.py:137} INFO - Adarah - F
[2023-06-30T04:09:17.208+0000] {logging_mixin.py:137} INFO - Ayreanna - F
[2023-06-30T04:09:17.236+0000] {logging_mixin.py:137} INFO - Antyon - M
[2023-06-30T04:09:17.262+0000] {logging_mixin.py:137} INFO - Andia - F
[2023-06-30T04:09:17.284+0000] {logging_mixin.py:137} INFO - Ashla - F
[2023-06-30T04:09:17.308+0000] {logging_mixin.py:137} INFO - Aspyn - F
[2023-06-30T04:09:17.335+0000] {logging_mixin.py:137} INFO - Antwanett - F
[2023-06-30T04:09:17.357+0000] {logging_mixin.py:137} INFO - Aundreia - F
[2023-06-30T04:09:17.383+0000] {logging_mixin.py:137} INFO - Audella - F
[2023-06-30T04:09:17.409+0000] {logging_mixin.py:137} INFO - Amari - Unisex
[2023-06-30T04:09:17.436+0000] {logging_mixin.py:137} INFO - Arsha - Unisex
[2023-06-30T04:09:17.461+0000] {logging_mixin.py:137} INFO - Aricella - F
[2023-06-30T04:09:17.486+0000] {logging_mixin.py:137} INFO - Adan - M
[2023-06-30T04:09:17.511+0000] {logging_mixin.py:137} INFO - Apasra - F
[2023-06-30T04:09:17.539+0000] {logging_mixin.py:137} INFO - Alaysha - F
[2023-06-30T04:09:17.561+0000] {logging_mixin.py:137} INFO - Anderson - M
[2023-06-30T04:09:17.596+0000] {logging_mixin.py:137} INFO - Aurelius - M
[2023-06-30T04:09:17.620+0000] {logging_mixin.py:137} INFO - Aerial - F
[2023-06-30T04:09:17.660+0000] {logging_mixin.py:137} INFO - Averleigh - F
[2023-06-30T04:09:17.698+0000] {logging_mixin.py:137} INFO - Aslean - F
[2023-06-30T04:09:17.725+0000] {logging_mixin.py:137} INFO - Arniesha - F
[2023-06-30T04:09:17.751+0000] {logging_mixin.py:137} INFO - Asyana - F
[2023-06-30T04:09:17.773+0000] {logging_mixin.py:137} INFO - Annjane - F
[2023-06-30T04:09:17.798+0000] {logging_mixin.py:137} INFO - Amabella - F
[2023-06-30T04:09:17.839+0000] {logging_mixin.py:137} INFO - Austinjohn - M
[2023-06-30T04:09:17.869+0000] {logging_mixin.py:137} INFO - Arloween - F
[2023-06-30T04:09:17.903+0000] {logging_mixin.py:137} INFO - Alula - M
[2023-06-30T04:09:17.930+0000] {logging_mixin.py:137} INFO - Anemone - F
[2023-06-30T04:09:17.956+0000] {logging_mixin.py:137} INFO - Amorina - F
[2023-06-30T04:09:17.981+0000] {logging_mixin.py:137} INFO - Anureet - F
[2023-06-30T04:09:18.004+0000] {logging_mixin.py:137} INFO - Arric - M
[2023-06-30T04:09:18.029+0000] {logging_mixin.py:137} INFO - Antonne - M
[2023-06-30T04:09:18.054+0000] {logging_mixin.py:137} INFO - Alyre - M
[2023-06-30T04:09:18.093+0000] {logging_mixin.py:137} INFO - Annaise - F
[2023-06-30T04:09:18.179+0000] {NameGenderCSVtoRedshift_v2.py:67} INFO - load done
[2023-06-30T04:09:18.180+0000] {python.py:177} INFO - Done. Returned value was: None
[2023-06-30T04:09:18.187+0000] {taskinstance.py:1323} INFO - Marking task as SUCCESS. dag_id=name_gender_v2, task_id=perform_etl, execution_date=20230629T020000, start_date=20230630T040914, end_date=20230630T040918
[2023-06-30T04:09:18.232+0000] {local_task_job.py:208} INFO - Task exited with return code 0
[2023-06-30T04:09:18.244+0000] {taskinstance.py:2578} INFO - 0 downstream tasks scheduled from follow-on schedule check
